x                      |y                      |vx                     |vy         
1                   |0                     |1.221e-62                        |1.221e-62
1                   |0.1                     |0                        |0
0.9                   |0                     |1.27579e-32                        |1.27579e-32
1                   |0.2                     |0                        |0
1                   |0.3                     |1.1662e-32                        |1.1662e-32
0.8                   |0                     |0                        |0
0.85                   |0.1                     |2.28016e-32                        |2.28016e-32
0.933333                   |0.133333                     |0                        |0
0.92                   |0.24                     |3.88775e-32                        |3.88775e-32
1                   |0.4                     |0                        |0
0.7                   |0                     |1.95483e-32                        |1.95483e-32
0.933333                   |0.333333                     |0                        |0
0.76                   |0.12                     |0.0158214                        |0.0158214
0.84                   |0.18                     |0                        |0
0.833333                   |0.266667                     |0.00956845                        |0.00956845
0.928571                   |0.428571                     |0                        |0
1                   |0.5                     |0.0225426                        |0.0225426
1                   |0.6                     |0                        |0
0.666667                   |0.0666667                     |5.76153e-32                        |5.76153e-32
0.6                   |0                     |0                        |0
1                   |0.7                     |2.91054e-32                        |2.91054e-32
1                   |0.8                     |0                        |0
0.857143                   |0.357143                     |0.0294848                        |0.0294848
0.642857                   |0.142857                     |0                        |0
0.75                   |0.2                     |0.0289241                        |0.0289241
0.733333                   |0.3                     |0                        |0
0.828571                   |0.428571                     |0.0316369                        |0.0316369
0.9                   |0.5                     |0                        |0
0.928571                   |0.571429                     |0.0521013                        |0.0521013
0.933333                   |0.666667                     |0                        |0
0.571429                   |0.0714286                     |0.0456483                        |0.0456483
0.5                   |0                     |0                        |0
1                   |1                     |8.40946e-32                        |8.40946e-32
1                   |0.9                     |0                        |0
0.88                   |0.76                     |1.2337e-31                        |1.2337e-31
0.9                   |0.85                     |0                        |0
0.716667                   |0.4                     |0.0200705                        |0.0200705
0.553571                   |0.160714                     |0                        |0
0.632143                   |0.232143                     |3.279e-32                        |3.279e-32
0.621429                   |0.321429                     |0                        |0
0.8                   |0.5                     |1.67454e-31                        |1.67454e-31
0.828571                   |0.571429                     |0                        |0
0.857143                   |0.642857                     |2.85728e-31                        |2.85728e-31
0.464286                   |0.178571                     |0                        |0
0.428571                   |0.0714286                     |0.0670702                        |0.0670702
0.4                   |0                     |0                        |0
0.9                   |1                     |0.0462119                        |0.0462119
0.8                   |0.75                     |0                        |0
0.85                   |0.925                     |0.0525891                        |0.0525891
0.82                   |0.84                     |0                        |0
0.610714                   |0.410714                     |0.0902303                        |0.0902303
0.7                   |0.5                     |0                        |0
0.5                   |0.294643                     |0.10397                        |0.10397
0.535714                   |0.410714                     |0                        |0
0.733333                   |0.583333                     |0.0818554                        |0.0818554
0.766667                   |0.666667                     |0                        |0
0.428571                   |0.267857                     |0.076886                        |0.076886
0.375                   |0.196429                     |0                        |0
0.333333                   |0.0833333                     |0.104558                        |0.104558
0.3                   |0                     |0                        |0
0.7                   |0.75                     |0.0243226                        |0.0243226
0.8                   |1                     |0                        |0
0.733333                   |0.833333                     |3.41174e-32                        |3.41174e-32
0.76                   |0.92                     |0                        |0
0.633333                   |0.583333                     |5e-31                        |5e-31
0.6                   |0.5                     |0                        |0
