x                      |y                      |vx                     |vy         
0                   |1.59                     |0.2419                        |0.2419
0                   |1                     |0                        |0
0                   |1.885                     |4.50833e-32                        |4.50833e-32
0                   |2                     |0                        |0
0                   |1.09833                     |0.101775                        |0.101775
0                   |1.19667                     |0                        |0
0                   |1.49167                     |7.6125e-32                        |7.6125e-32
0                   |1.39333                     |0                        |0
0.0714286                   |1.42143                     |0.0886639                        |0.0886639
0                   |1.295                     |0                        |0
0                   |1.78667                     |0.157989                        |0.157989
0.085797                   |1.5673                     |0                        |0
0                   |1.68833                     |0.249931                        |0.249931
0.1                   |1                     |0                        |0
0.0970746                   |1.84214                     |0.238622                        |0.238622
0.174286                   |2                     |0                        |0
0.075                   |1.22125                     |0.198111                        |0.198111
0.0666667                   |1.13111                     |0                        |0
0.144643                   |1.2511                     |0.207975                        |0.207975
0.15                   |1.07375                     |0                        |0
0.130492                   |1.46769                     |0.167822                        |0.167822
0.133333                   |1.32778                     |0                        |0
0.188157                   |1.54892                     |0.191382                        |0.191382
0.154769                   |1.7024                     |0                        |0
0.2                   |1                     |0.214531                        |0.214531
0.373333                   |2                     |0                        |0
0.219411                   |1.8715                     |6.10292e-32                        |6.10292e-32
0.2                   |1.19667                     |0                        |0
0.214286                   |1.28095                     |0.0978113                        |0.0978113
0.225                   |1.07375                     |0                        |0
0.266667                   |1.13111                     |8.84973e-32                        |8.84973e-32
0.227133                   |1.43771                     |0                        |0
0.268822                   |1.34043                     |0.134699                        |0.134699
0.297193                   |1.52935                     |0                        |0
0.297548                   |1.75396                     |0.0907872                        |0.0907872
0.297364                   |1.63755                     |0                        |0
0.3                   |1                     |0.118493                        |0.118493
0.576667                   |2                     |0                        |0
0.42745                   |1.86847                     |0.0396572                        |0.0396572
0.78                   |2                     |0                        |0
0.285714                   |1.21071                     |0.169209                        |0.169209
0.333333                   |1.08194                     |0                        |0
0.358818                   |1.29078                     |0.14585                        |0.14585
0.329031                   |1.40609                     |0                        |0
0.413417                   |1.50848                     |0.141408                        |0.141408
0.456112                   |1.69853                     |0                        |0
0.4                   |1                     |0.129157                        |0.129157
0.581066                   |1.81146                     |0                        |0
0.802624                   |1.81147                     |4.5368e-32                        |4.5368e-32
1.18667                   |2                     |0                        |0
0.983333                   |2                     |5.20317e-32                        |5.20317e-32
0.967622                   |1.81147                     |0                        |0
1.39                   |2                     |0.0527775                        |0.0527775
1.59333                   |2                     |0                        |0
2                   |2                     |0.0817067                        |0.0817067
0.428571                   |1.07024                     |0                        |0
0.395593                   |1.21467                     |0.102572                        |0.102572
0.442153                   |1.38206                     |0                        |0
0.537279                   |1.48625                     |0.0297399                        |0.0297399
0.620955                   |1.6409                     |0                        |0
0.5                   |1                     |0.0455984                        |0.0455984
0.751272                   |1.6409                     |0                        |0
0.953409                   |1.6409                     |0.123912                        |0.123912
1.31647                   |1.81147                     |0                        |0
1.15147                   |1.81147                     |0.0969541                        |0.0969541
1.11964                   |1.6409                     |0                        |0
1.79667                   |2                     |0.100917                        |0.100917
1.695                   |1.8475                     |0                        |0
1.5425                   |1.8475                     |0.071439                        |0.071439
2                   |1.79667                     |0                        |0
0.507988                   |1.10419                     |0.091717                        |0.091717
0.516792                   |1.21903                     |0                        |0
0.591928                   |1.34595                     |3.26667e-32                        |3.26667e-32
0.663777                   |1.48625                     |0                        |0
0.6                   |1                     |2.95452e-32                        |2.95452e-32
0.790275                   |1.48625                     |0                        |0
0.991896                   |1.48624                     |0.0273832                        |0.0273832
1.46158                   |1.66663                     |0                        |0
1.24995                   |1.6409                     |1.36866e-32                        |1.36866e-32
1.18964                   |1.48625                     |0                        |0
1.86444                   |1.72889                     |0.0653067                        |0.0653067
1.695                   |1.695                     |0                        |0
2                   |1.59333                     |0.0239682                        |0.0239682
0.597569                   |1.10419                     |0                        |0
0.672987                   |1.21903                     |0.0660216                        |0.0660216
0.727676                   |1.34595                     |0                        |0
0.68715                   |1.10419                     |0.0879292                        |0.0879292
0.7                   |1                     |0                        |0
0.858487                   |1.34594                     |0.0709865                        |0.0709865
0.994234                   |1.34595                     |0                        |0
1.13492                   |1.34594                     |0.0507466                        |0.0507466
1.5641                   |1.5641                     |0                        |0
1.39595                   |1.53308                     |2.35014e-32                        |2.35014e-32
1.25318                   |1.30677                     |0                        |0
1.33541                   |1.40991                     |0.0231918                        |0.0231918
1.8475                   |1.5425                     |0                        |0
1.66662                   |1.46158                     |0.011943                        |0.011943
2                   |1.39                     |0                        |0
0.8                   |1                     |4.20993e-33                        |4.20993e-33
0.795619                   |1.21903                     |0                        |0
0.797916                   |1.10419                     |7.61774e-33                        |7.61774e-33
0.918252                   |1.21903                     |0                        |0
1.08542                   |1.21903                     |0.0073666                        |0.0073666
1.178                   |1.21249                     |0                        |0
1.27561                   |1.15837                     |2.5551e-33                        |2.5551e-33
1.48581                   |1.33116                     |0                        |0
1.38737                   |1.22259                     |1.58402e-33                        |1.58402e-33
1.81146                   |1.31647                     |0                        |0
1.6409                   |1.24995                     |5.03308e-34                        |5.03308e-34
2                   |1.18667                     |0                        |0
0.9                   |1                     |0.0149568                        |0.0149568
0.887497                   |1.10419                     |0                        |0
1.04063                   |1.10419                     |0.0475332                        |0.0475332
1.21903                   |1.08542                     |0                        |0
1.34595                   |1.06458                     |0.0605903                        |0.0605903
1.48624                   |1.09076                     |0                        |0
1.81146                   |1.15147                     |0.0488335                        |0.0488335
1.6409                   |1.11963                     |0                        |0
2                   |0.983333                     |0.0330023                        |0.0330023
2                   |0.78                     |0                        |0
1                   |1                     |1.77262e-32                        |1.77262e-32
1.10419                   |1.01945                     |0                        |0
1.21903                   |0.99635                     |0.0225501                        |0.0225501
1.34595                   |0.928829                     |0                        |0
1.48624                   |0.94052                     |0.0122995                        |0.0122995
1.6409                   |0.989318                     |0                        |0
1.81146                   |0.967622                     |0.00275743                        |0.00275743
1.81146                   |0.764917                     |0                        |0
2                   |0.576667                     |0.0043217                        |0.0043217
2                   |0.373333                     |0                        |0
2                   |0.174286                     |0.00769823                        |0.00769823
2                   |0                     |0                        |0
1                   |0.9                     |1.20602e-33                        |1.20602e-33
1.10419                   |0.908683                     |0                        |0
1.21903                   |0.873716                     |0.000969398                        |0.000969398
1.28094                   |0.802483                     |0                        |0
1.48625                   |0.790275                     |0.00131919                        |0.00131919
1.6409                   |0.823092                     |0                        |0
1.81147                   |0.581066                     |0.00100662                        |0.00100662
1.6409                   |0.585046                     |0                        |0
1.86846                   |0.427448                     |0.0166714                        |0.0166714
1.8715                   |0.219411                     |0                        |0
1.84214                   |0.0970746                     |0.0327153                        |0.0327153
1.885                   |0                     |0                        |0
1                   |0.8                     |0.0361641                        |0.0361641
1.10419                   |0.797916                     |0                        |0
1.21903                   |0.717522                     |0.0327012                        |0.0327012
1.34595                   |0.727676                     |0                        |0
1.48624                   |0.64003                     |1.22842e-32                        |1.22842e-32
1.64563                   |0.441727                     |0                        |0
1.52647                   |0.535147                     |0.0221281                        |0.0221281
1.75395                   |0.297544                     |0                        |0
1.75987                   |0.154674                     |0.012107                        |0.012107
1.78667                   |0                     |0                        |0
1                   |0.7                     |0.00300997                        |0.00300997
1.10419                   |0.68715                     |0                        |0
1.10419                   |0.597569                     |0.00536755                        |0.00536755
1.21903                   |0.594889                     |0                        |0
1.34594                   |0.591928                     |0.00702668                        |0.00702668
1.42299                   |0.490021                     |0                        |0
1.65003                   |0.308478                     |0.00137089                        |0.00137089
1.50003                   |0.388114                     |0                        |0
1.65413                   |0.1843                     |0.00182072                        |0.00182072
1.6724                   |0.0858491                     |0                        |0
1.68833                   |0                     |0.00178339                        |0.00178339
1                   |0.6                     |0                        |0
1.10419                   |0.507988                     |0.012931                        |0.012931
1.19943                   |0.478248                     |0                        |0
1.30923                   |0.448202                     |0.0200745                        |0.0200745
1.38282                   |0.351514                     |0                        |0
1.54373                   |0.169197                     |0.0237744                        |0.0237744
1.47023                   |0.26618                     |0                        |0
1.5673                   |0.0857984                     |0.0098437                        |0.0098437
1.59                   |0                     |0                        |0
1                   |0.5                     |9.24613e-33                        |9.24613e-33
1.07024                   |0.428571                     |0                        |0
1.18109                   |0.369066                     |0.0161749                        |0.0161749
1.27602                   |0.318165                     |0                        |0
1.35002                   |0.24313                     |0.0109049                        |0.0109049
1.44316                   |0.155438                     |0                        |0
1.42143                   |0.0714286                     |0.00753865                        |0.00753865
1.49167                   |0                     |0                        |0
1                   |0.4                     |0.0029031                        |0.0029031
1.08194                   |0.333333                     |0                        |0
1.16389                   |0.266667                     |0.00419149                        |0.00419149
1.24583                   |0.2                     |0                        |0
1.35119                   |0.142857                     |0.00547751                        |0.00547751
1.32778                   |0.0666667                     |0                        |0
1.39333                   |0                     |0.00493542                        |0.00493542
1                   |0.3                     |0                        |0
1.07375                   |0.225                     |0.00202747                        |0.00202747
1.15733                   |0.18                     |0                        |0
1.22125                   |0.075                     |0.00266157                        |0.00266157
1.295                   |0                     |0                        |0
1                   |0.2                     |0.00217972                        |0.00217972
1.07375                   |0.15                     |0                        |0
1.13111                   |0.0666667                     |6.63723e-33                        |6.63723e-33
1.19667                   |0                     |0                        |0
1                   |0.1                     |0.0139763                        |0.0139763
1.09833                   |0                     |0                        |0
1                   |0                     |0.00702889                        |0.00702889
